name,latitude,longitude,description,city,country,category,address,phone,website
Bar Planet,-33.8982604,151.1776339,"Rating: 4.7/5 (0 reviews) | Hours: [{""day"":""Monday"",""hours"":""5 PM to 12 AM""},{""day"":""Tuesday"",""hours"":""5 PM to 12 AM""},{""day"":""Wednesday"",""hours"":""Closed""},{""day"":""Thursday"",""hours"":""Closed""},{""day"":""Friday"",""hours"":""5 PM to 2 AM""},{""day"":""Saturday"",""hours"":""3 PM to 2 AM""},{""day"":""Sunday"",""hours"":""3 PM to 12 AM""}] | Place ID: ChIJT04JjrqxEmsR7H9g9GpRu-4",Sydney,Australia,cafe,"16 Enmore Rd, Newtown NSW 2042, Australia",,https://www.muchogroup.com.au/barplanet
Bar Ponale,45.5218921,9.2093982,"Rating: 4.8/5 (0 reviews) | Hours: [{""day"":""Monday"",""hours"":""5:30 AM to 7 PM""},{""day"":""Tuesday"",""hours"":""5:30 AM to 7 PM""},{""day"":""Wednesday"",""hours"":""5:30 AM to 7 PM""},{""day"":""Thursday"",""hours"":""5:30 AM to 7 PM""},{""day"":""Friday"",""hours"":""5:30 AM to 7 PM""},{""day"":""Saturday"",""hours"":""5:30 AM to 1 PM""},{""day"":""Sunday"",""hours"":""Closed""}] | Place ID: ChIJ6-9b8mjHhkcRyjaz4R_zgpc",Milan,Italy,cafe,"Via Ponale, 20162 Milano MI, Italy",,
Bar Pronto,-33.8662194,151.2087005,"Rating: 4.9/5 (0 reviews) | Hours: [""Monday: 5:00 AM – 4:30 PM"",""Tuesday: 5:00 AM – 4:30 PM"",""Wednesday: 6:00 AM – 1:00 PM"",""Thursday: Closed"",""Friday: 5:00 AM – 4:30 PM"",""Saturday: 5:00 AM – 2:30 PM"",""Sunday: 6:30 AM – 12:00 PM""] | Place ID: ChIJCxMBNUCuEmsR5EHLzHO5V3Q",Sydney,Australia,cafe,"72 Pitt St, Sydney NSW 2000, Australia",,
Bar Pulci Drinks & Food,45.5144129,9.2070985,"Rating: 4.5/5 (0 reviews) | Hours: [{""day"":""Monday"",""hours"":""7 AM to 6 PM""},{""day"":""Tuesday"",""hours"":""7 AM to 6 PM""},{""day"":""Wednesday"",""hours"":""7 AM to 6 PM""},{""day"":""Thursday"",""hours"":""7 AM to 6 PM""},{""day"":""Friday"",""hours"":""7 AM to 6 PM""},{""day"":""Saturday"",""hours"":""7 AM to 6 PM""},{""day"":""Sunday"",""hours"":""Closed""}] | Place ID: ChIJKd4LwknHhkcRV-EOACmRt64",Milan,Italy,cafe,"Via Luigi Pulci, 13, 20126 Milano MI, Italy",,
Bar Restaurant Brunch,48.8616463,2.4059322,"Rating: 4.5/5 (0 reviews) | Hours: [{""day"":""Monday"",""hours"":""11 AM to 11 PM""},{""day"":""Tuesday"",""hours"":""11 AM to 11 PM""},{""day"":""Wednesday"",""hours"":""11 AM to 11 PM""},{""day"":""Thursday"",""hours"":""11 AM to 11 PM""},{""day"":""Friday"",""hours"":""11 AM to 11 PM""},{""day"":""Saturday"",""hours"":""11 AM to 11 PM""},{""day"":""Sunday"",""hours"":""11 AM to 11 PM""}] | Place ID: ChIJHW9nboRt5kcRaP1coS2Rv8E",Paris,France,restaurant,"Rue des Balkans, 75020 Paris, France",,
Bar Restaurant Jù Dé,41.4065025,2.1792483,"Rating: 4.9/5 (0 reviews) | Hours: [{""day"":""Monday"",""hours"":""8:30 AM to 11 PM""},{""day"":""Tuesday"",""hours"":""8:30 AM to 11 PM""},{""day"":""Wednesday"",""hours"":""8:30 AM to 11 PM""},{""day"":""Thursday"",""hours"":""8:30 AM to 11 PM""},{""day"":""Friday"",""hours"":""8:30 AM to 11:30 PM""},{""day"":""Saturday"",""hours"":""9 AM to 11 PM""},{""day"":""Sunday"",""hours"":""9 AM to 11 PM""}] | Place ID: ChIJu-98ljyjpBIRV3UghHSzmu8",Barcelona,Spain,restaurant,"Carrer de Mallorca, 465, Eixample, 08013 Barcelona, Spain",,
Bar Restaurant La Moreneta,41.4072222,2.1797222,"Rating: 4.5/5 (0 reviews) | Hours: [{""day"":""Monday"",""hours"":""8 AM to 4 PM""},{""day"":""Tuesday"",""hours"":""8 AM to 4 PM""},{""day"":""Wednesday"",""hours"":""8 AM to 4 PM""},{""day"":""Thursday"",""hours"":""Closed""},{""day"":""Friday"",""hours"":""8 AM to 4 PM, 8 to 10:30 PM""},{""day"":""Saturday"",""hours"":""Closed""},{""day"":""Sunday"",""hours"":""Closed""}] | Place ID: ChIJSRS3Y9mipBIRquBae0Ok0lw",Barcelona,Spain,restaurant,"Carrer de Cartagena, 234, Eixample, 08013 Barcelona, Spain",,https://www.restaurantlamoreneta.com/
Bar restaurante 504II,41.4087081,2.1780156,"Rating: 4.5/5 (0 reviews) | Hours: [{""day"":""Monday"",""hours"":""7:30 AM to 1 AM""},{""day"":""Tuesday"",""hours"":""7:30 AM to 1 AM""},{""day"":""Wednesday"",""hours"":""7:30 AM to 1 AM""},{""day"":""Thursday"",""hours"":""7:30 AM to 1 AM""},{""day"":""Friday"",""hours"":""7:30 AM to 1 AM""},{""day"":""Saturday"",""hours"":""Closed""},{""day"":""Sunday"",""hours"":""9:30 AM to 1 AM""}] | Place ID: ChIJCXyOSNqipBIRsEcUJHjGtaQ",Barcelona,Spain,cafe,"Carrer del Rosselló, 482, Eixample, 08025 Barcelona, Spain",,
BAR RESTAURANTE GARDENIA,41.4083048,2.1797833,"Rating: 4.7/5 (0 reviews) | Hours: [{""day"":""Monday"",""hours"":""Closed""},{""day"":""Tuesday"",""hours"":""12 PM to 12 AM""},{""day"":""Wednesday"",""hours"":""12 PM to 12 AM""},{""day"":""Thursday"",""hours"":""12 PM to 12 AM""},{""day"":""Friday"",""hours"":""12 PM to 1 AM""},{""day"":""Saturday"",""hours"":""12 PM to 1 AM""},{""day"":""Sunday"",""hours"":""12 PM to 12 AM""}] | Place ID: ChIJk284RHKjpBIR3ZSixPqHtws",Barcelona,Spain,restaurant,"Carrer de Provença, 546, local 3, Eixample, 08025 Barcelona, Spain",,https://restaurantegardenia.es/
Bar Robledo,40.346447,-3.7050912,"Rating: 4.4/5 (0 reviews) | Hours: [""[object Object]"",""[object Object]"",""[object Object]"",""[object Object]"",""[object Object]"",""[object Object]"",""[object Object]""] | Place ID: ChIJhQBxLCcnQg0RPPgSwJZSt5c",Madrid,Spain,cafe,"Calle del Dr. Martín Arévalo, 43, Villaverde, 28021 Burgos, Madrid, Spain",,
