id,name,coverImage,error
"001a96f5-e76d-4ec3-ac14-dbfef1b00c31","Blue Bottle Coffee - Nakameguro Cafe","https://fastly.4sqi.net/img/general/600x600/13833645_z-15-2x6g66y-L5824Xm36r6i7tB0s3w3r2Q6mU.jpg","HTTP 404"
"0009186f-f2ed-4927-a7e9-191d1945a413","Black Remedy","https://example.com/blackremedy.jpg","HTTP 404"
"00b97759-24f6-4eff-a7ed-f5ce1472383c","PLAYWORKS SHOP&CAFE","https://img.vago.to/places/cover/v1/00/b9/00b97759-24f6-4eff-a7ed-f5ce1472383c.jpg","HTTP 404"
"00fdd300-c6ff-4bf2-bc81-d13b7539d798","KEEN GARAGE HARAJUKU","https://img.vago.to/places/cover/v1/00/fd/00fdd300-c6ff-4bf2-bc81-d13b7539d798.jpg","HTTP 404"
"01368361-763e-4148-8da8-9ee4a25cbb2e","Afuri (Harajuku)","https://example.com/afuri_harajuku.jpg","HTTP 404"
"0178f64a-5d3c-4a25-baa2-4cb9bc305c3b","Hart","https://img.vago.to/places/cover/v1/01/78/0178f64a-5d3c-4a25-baa2-4cb9bc305c3b.jpg","HTTP 404"
"01e5ee8a-876c-4b28-ae8c-3e31acc25046","Wat Si Koet","https://img.vago.to/places/cover/v1/01/e5/01e5ee8a-876c-4b28-ae8c-3e31acc25046.jpg","HTTP 404"
"01dd3d9c-d25c-4941-84cc-0f1266b5e034","383 Madison Avenue","http://commons.wikimedia.org/wiki/Special:FilePath/383%20Madison%20Ave%20Bear%20Stearns%20C%20R%20Flickr%203.jpg","HTTP 429"
"01ee2845-ce7b-4ce3-bd7a-f12dafd17149","Molenpad 10-16","http://commons.wikimedia.org/wiki/Special:FilePath/2025%20Molenpad%2010-16%2C%20Asd%20%28B%29.jpg","HTTP 429"
"01d16429-5c67-4ba3-ab1a-aa745fe16adb","70 St Mary Axe","http://commons.wikimedia.org/wiki/Special:FilePath/70%20St%20Mary%20Axe%20seen%20from%20Bevis%20Marks.jpg","HTTP 429"
"01946811-416e-46a9-afba-a6255ad33400","Alter Jüdischer Friedhof Eisenstadt","http://commons.wikimedia.org/wiki/Special:FilePath/Kirkut%20Eisenstadt.JPG","HTTP 429"
"018d74a1-b3de-4466-b41c-233a9fc931a2","Can Duran i Can Mirabent","http://commons.wikimedia.org/wiki/Special:FilePath/090%20Can%20Duran%20i%20Can%20Mirabent%20%28les%20Cases%20Bessones%29%2C%20av.%20Artur%20Carbonell%206%20i%208.jpg","HTTP 429"
"0249796f-af96-46b5-a239-a28df2b57ebe","Imperial Palace East National Gardens","https://img.vago.to/places/cover/v1/02/49/0249796f-af96-46b5-a239-a28df2b57ebe.jpg","HTTP 404"
"020fb886-79ab-49f9-8813-5493fc73acc5","Het Sieraad","http://commons.wikimedia.org/wiki/Special:FilePath/Postjesweg%201%20%282%29.JPG","HTTP 429"
"01fd398b-d90e-499c-b663-f38200b3ce78","St. Joseph","http://commons.wikimedia.org/wiki/Special:FilePath/St.%20joseph%20koeln%20rodenkirchen%202009.jpg","HTTP 429"
"02404243-d9a5-40e9-9d19-fe695aedb811","Pyhän Henrikin katedraali","http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Henry%27s%20Cathedral%20Helsinki%202.jpg","HTTP 429"
"0244a33d-04b4-4002-b744-ec20b55f8fb0","Crane Flat Fire Lookout","http://commons.wikimedia.org/wiki/Special:FilePath/Crane%20Flat%20Fire%20Lookout.JPG","HTTP 429"
"0206bf07-07f2-4c31-9e42-8febbda604c4","116 John Street","http://commons.wikimedia.org/wiki/Special:FilePath/116%20John%20Street%2C%20Lower%20Manhattan%2C%20New%20York%20City.jpg","HTTP 429"
"024ec017-c0b9-4bdc-8c68-d6e7f40d7173","Villa Giulia","http://commons.wikimedia.org/wiki/Special:FilePath/Villa%20Giulia%20modified.jpg","HTTP 429"
"020be3d8-0215-47e5-96fb-90df3ea74906","two tumuli northwest of Bilderberglaan near Wolfheze","http://commons.wikimedia.org/wiki/Special:FilePath/Wolfheze-tumuli%20northwest%20of%20Bilderberglaan%20%281%29.jpg","HTTP 429"
"020dbaec-aa3d-48e8-a98b-bb74ed23048e","Terminal Commerce Building","http://commons.wikimedia.org/wiki/Special:FilePath/Terminal%20Commerce%20Philly.JPG","HTTP 429"
"02c1b49e-94f7-42ac-be4c-9ef1d428d43d","Dra' Abu el-Naga","http://commons.wikimedia.org/wiki/Special:FilePath/DraAbuNagaSite.jpg","HTTP 429"
"029f9962-17fa-4195-85ce-82e598cbc14c","Sowjetischer Ehrenfriedhof Baruth/Mark","http://commons.wikimedia.org/wiki/Special:FilePath/Baruth%20Ehrenfriedhof.jpg","HTTP 429"
"0266f846-9a6a-41df-b73c-7dd7193a9943","Terrein waarin grafheuvel en urnenveld","http://commons.wikimedia.org/wiki/Special:FilePath/Goirle-20130904-155004-DSC%205275.JPG","HTTP 429"
"02b9a520-fb97-4110-bf64-8715bc4e4b53","Hirshhorn Museum and Sculpture Garden","http://commons.wikimedia.org/wiki/Special:FilePath/Hirshhorn%20Museum%20DC%202007.jpg","HTTP 429"
"032bba11-9175-4e0f-87c5-bb328050a2c0","Corn Palace","http://commons.wikimedia.org/wiki/Special:FilePath/CornPalace2008.jpg","HTTP 429"
"02f89a27-e1de-4c67-af57-ce04185ea5e7","Califórnia Building (São Paulo)","http://commons.wikimedia.org/wiki/Special:FilePath/Edif%C3%ADcio%20Calif%C3%B3rnia%2004.JPG","HTTP 429"
"02ee9bc5-9636-421d-b2b3-f8fc10dfae8b","Monumento al Corazón de Jesús","http://commons.wikimedia.org/wiki/Special:FilePath/Sagrado%20Coraz%C3%B3n%20Toledo.jpg","HTTP 429"
"033fc91e-e4fb-4d60-8cc5-258fe8639529","Devil's Humps","http://commons.wikimedia.org/wiki/Special:FilePath/The%20Devil%27s%20Humps%20barrows%20on%20Bow%20Hill%20-%20geograph.org.uk%20-%20763644.jpg","HTTP 429"
"0313ab0f-cf42-4d47-91f2-198c065a5d45","Dr Chau Chak Wing Building","http://commons.wikimedia.org/wiki/Special:FilePath/Frank%20Gehry%27s%20Dr%20Chau%20Chak%20Wing%20Building%20%284%29.jpg","HTTP 429"
"03488998-e11b-450a-a5f6-2d448920f409","Neguri","http://commons.wikimedia.org/wiki/Special:FilePath/Estaci%C3%B3n%20de%20Neguri%201.jpg","HTTP 429"
"0340adf3-d71e-4415-b30b-aa2437fc46c1","Friedhof Reinickendorf","http://commons.wikimedia.org/wiki/Special:FilePath/Begas%2C%20R.%201874%20Strousberg-Grabmonument%2C%20Reinickendorf%201.jpg","HTTP 429"
"035f3dd0-c78f-48ac-b5d9-f052a12c24d6","Brunflo 58:1","http://commons.wikimedia.org/wiki/Special:FilePath/Brunflo%20h%C3%B6g%2058%201.jpg","HTTP 429"
"03b0215b-df11-4d81-83f2-40ab4bc6efa9","Aachen East Cemetery","http://commons.wikimedia.org/wiki/Special:FilePath/Ostfriedhof%20Aachen%20%286%29.JPG","HTTP 429"
"03f3b261-ff55-45e3-8d00-d64e65186fbb","Municipal Cemetery of Braço do Norte","http://commons.wikimedia.org/wiki/Special:FilePath/Cemit%C3%A9rio%20BN.jpg","HTTP 429"
"03750332-70ee-491f-98ef-35e7b6bc8d08","Schloss Hohenheim","http://commons.wikimedia.org/wiki/Special:FilePath/SchlossHohenheim%20pan-pjt1.jpg","HTTP 429"
"03b65467-11d3-4129-b208-88a6d792a059","Chase Tower","http://commons.wikimedia.org/wiki/Special:FilePath/Chase%20Tower%20Milwaukee.jpg","HTTP 429"
"0422fb0d-bbd5-4148-8347-3c19a490d0f3","One New Change","http://commons.wikimedia.org/wiki/Special:FilePath/One%20New%20Change%2C%20City%20of%20London.JPG","HTTP 429"
"042e673d-7772-47a7-b983-6094b906c94b","Pine Street School","http://commons.wikimedia.org/wiki/Special:FilePath/NorthfieldMA%20PineStreetSchool.jpg","HTTP 429"
"042e2828-1721-424a-bf7b-a0c55d26e958","Daisen Kofun","http://commons.wikimedia.org/wiki/Special:FilePath/Daisenryo%20Kofun%20zenkei-2.jpg","HTTP 429"
"040e87a1-539f-44ef-b2a2-e7d7230ab550","cimetière Gromovskoïe","http://commons.wikimedia.org/wiki/Special:FilePath/Gromovskoe%20Old%20Believers%20Cemetery%2005.jpg","HTTP 429"
"0431a84a-4513-4e3c-a233-6388bc2d6c9b","Strusshamn Church","http://commons.wikimedia.org/wiki/Special:FilePath/Strusshamn%20kirke.JPG","HTTP 429"
"045a92d6-2916-4341-a6f7-699ab7ebdd45","Deans Grange Cemetery","http://commons.wikimedia.org/wiki/Special:FilePath/Dean%27s%20Grange%20Cemetery%20Main%20Walkway.JPG","HTTP 429"
"0456235d-9313-4e04-af45-a7eca971a27e","Washington Union Station","http://commons.wikimedia.org/wiki/Special:FilePath/Union%20Station%20Washington%20DC%20%28cropped%29.jpg","HTTP 429"
"04069019-b97f-41c1-84cd-fbaca643e2c1","Neuschwanstein Castle","http://commons.wikimedia.org/wiki/Special:FilePath/Schloss%20Neuschwanstein%202013.jpg","HTTP 429"
"04194330-a4c1-4f47-b999-33da1228f7de","Evergreen Cemetery","http://commons.wikimedia.org/wiki/Special:FilePath/Evergreen%20soldier.jpg","HTTP 429"
"0466e887-3c2d-4825-af20-bf28ad8335b4","Montjuïc Communications Tower","http://commons.wikimedia.org/wiki/Special:FilePath/Torre%20de%20comunicacions%20de%20Montjuic%2C%20Barcelona%2C%20Calavatra%2001.jpg","HTTP 429"
"042eabc0-f1f9-4a47-bf64-4966b93099aa","Des Moines Art Center","http://commons.wikimedia.org/wiki/Special:FilePath/Des%20Moines%20Art%20Center.jpg","HTTP 429"
"049b8c79-1efa-4408-b5cb-b1e16a039ba4","Superkilen Park","https://img.vago.to/places/cover/v1/04/9b/049b8c79-1efa-4408-b5cb-b1e16a039ba4.jpg","HTTP 404"
"0482494c-17c3-4de5-9a82-658c071e5a43","Hayashi","https://example.com/hayashi_ramen.jpg","HTTP 404"
"04bceacb-956f-4950-bd9b-110ec0d4d42e","Gothic Quarter","https://example.com/gothic_quarter.jpg","HTTP 404"
"04c111a2-2f0c-45d4-97ae-9481cd914bf2","Federal Cafe Gotic","https://example.com/federal.jpg","HTTP 404"
"04a328d5-8006-4437-8352-0d8a462f3d61","Ottarshögen","http://commons.wikimedia.org/wiki/Special:FilePath/Ottar03.jpg","HTTP 429"
"0488786a-6e93-4cd9-b893-4e805208b960","Singapore Indoor Stadium","http://commons.wikimedia.org/wiki/Special:FilePath/Singapore%20Indoor%20Stadium%2C%20Dec%2005.JPG","HTTP 429"
"04c0b45e-ba72-4dfe-bfba-fe75b65442d6","Choueke House","http://commons.wikimedia.org/wiki/Special:FilePath/Choueke%20house01%202816.jpg","HTTP 429"
"04c7f915-72b9-4570-bcb1-b84915e9da24","Bishopwearmouth Cemetery","http://commons.wikimedia.org/wiki/Special:FilePath/Commonwealth%20War%20Graves%2C%20Bishopwearmouth%20Cemetery.jpg","HTTP 429"
