name,latitude,longitude,description,city,country,category,address,phone,website
Aqsunqur Mosque,30.036111111,31.260277777,,Cairo Governorate,Egypt,temple,,,
Aqua,41.886497,-87.619711,,Cook County,United States,landmark,,,
Áras an Uachtaráin,53.359676,-6.31745,,Phoenix Park,Ireland,landmark,,,
Arbed SA Hauptverwaltung,49.4988,5.9881,,Esch-sur-Alzette,Luxembourg,landmark,,,
Archbasilica of St. John Lateran,41.885905555,12.506155555,,Rome,Italy,landmark,,,
"Archcathedral Basilica of St. Stanislaus Kostka, Łódź",51.748819444,19.459608333,,Katedralna,Poland,church,,,
arco del Meloncello,44.490121125,11.310977679,,Bologna,Italy,landmark,,,
Ard Eevin,34.176944444,-118.270277777,,California,United States,landmark,,,
Ardennes American Cemetery and Memorial,50.547430555,5.465430555,,Neupré,Belgium,cemetery,,,
Areeta,43.326111,-3.009722,,Getxo,Spain,landmark,,,
Arena Amazônia,-3.083056,-60.028056,,,,stadium,,,
Arena AufSchalke,51.554502777,7.067588888,,,,stadium,,,
Arena Cidade da Copa,-8.040555555,-35.008333333,,,,stadium,,,
Arena Civica,45.475463,9.178544,,Milan,Italy,stadium,,,
Arena da Baixada,-25.448333,-49.276944,,,,stadium,,,
Arena das Dunas,-5.82681,-35.21236,,,,stadium,,,
Arena Lviv,49.775278055,24.027778055,,,,stadium,,,
Arenas de Barcelona,41.376288,2.149284,,La Nova Esquerra de l'Eixample,Spain,landmark,,,
Argoules Communal Cemetery,50.336724,1.830791,,Argoules,France,cemetery,,,
Arkansas State Capitol,34.74675,-92.289222222,,Little Rock,United States,landmark,,,
Arleux-du-Nord Communal Cemetery,50.282061,3.111524,,Arleux,France,cemetery,,,
Arlington National Cemetery,38.878087,-77.068769,,Arlington County,United States,cemetery,,,
Arlington Town Hall,42.415897769,-71.156377673,,Arlington,United States,landmark,,,
Armazéns Grandella,38.711734771,-9.139493942,,Santa Maria Maior,Portugal,landmark,,,
Armenian Cemetery,55.766522222,37.553722222,,Presnensky District,Russia,cemetery,,,
"Armenian cemetery in Hyderabad, India",17.341028,78.48972,,Hyderabad,India,cemetery,,,
Armenian Cemetery in Julfa,38.974172222,45.564802777,,Julfa,Azerbaijan,cemetery,,,
Armenian cemetery of Khojivanq,41.698422222,44.818630555,,Tbilisi,Georgia,cemetery,,,
Armenian Church of the Holy Nazareth,22.579,88.351,,"Ward No. 45, Kolkata Municipal Corporation",India,cemetery,,,
Arneke Churchyard,50.831693,2.411787,,Arnèke,France,cemetery,,,
Arney's Mount Friends Meetinghouse and Burial Ground,40.0092,-74.6972,,Springfield Township,United States,cemetery,,,
Arnold Burying Ground,41.4861,-71.3119,,Rhode Island,United States,cemetery,,,
Arnos Vale Cemetery,51.44,-2.5675,,City of Bristol,United Kingdom,cemetery,,,
Arras Communal Cemetery,50.289373,2.794034,,Arras,France,cemetery,,,
Arry Communal Cemetery,50.273333,1.718338,,Arry,France,cemetery,,,
Arsenal Stadium,51.557696,-0.102966,,,,stadium,,,
Arshakuni Palace,41.7014,44.793,,Mtatsminda District,Georgia,castle,,,
Arskoe cemetery,55.793333333,49.155833333,,Waxitof City District,Russia,cemetery,,,
Art Gallery of New South Wales,-33.868611111,151.217222222,,Sydney,Australia,art_gallery,,,
Art Gallery of Ontario,43.653611111,-79.392777777,,Toronto,Canada,art_gallery,,,
Art Institute of Chicago building,41.8796,-87.6237,,Chicago,United States,university,,,
Art Pavilion in Zagreb,45.80722222,15.97861111,,Donji grad,Croatia,landmark,,,
Arthur C. and Mary S.A. Nash House,35.91388889,-79.04527778,,Chapel Hill,United States,landmark,,,
Arthur Street Cemetery,-45.8733,170.494,,Dunedin City,New Zealand,cemetery,,,
Artificial Mountain of Buen Retiro,40.421108,-3.680558,,Madrid,Spain,landmark,,,
Artillery Park,41.496397,-71.374692,,Jamestown,United States,cemetery,,,
Arts Centre Melbourne,-37.820277777,144.968333333,,City of Melbourne,Australia,landmark,,,
Ås 14:1,63.235179,14.538876,,Krokom Municipality,Sweden,cemetery,,,
Ås 15:1,63.234443,14.539708,,Krokom Municipality,Sweden,cemetery,,,
Ås 15:2,63.234563,14.539713,,Krokom Municipality,Sweden,cemetery,,,
Ås Abbey,57.225303,12.220417,,Varberg Municipality,Sweden,cemetery,,,
Asa Waters Mansion,42.190167,-71.762333,,Millbury,United States,landmark,,,
Asahi Group Oyamazaki Villa Museum of Art,34.895556,135.679639,,Osaka,Japan,museum,,,
Asamhaus,48.135152231,11.569384533,,Munich,Germany,landmark,,,
Asamkirche,48.13520696,11.569513967,,Munich,Germany,landmark,,,
Ascension Parish Burial Ground,52.2176,0.1001,,Cambridge,United Kingdom,cemetery,,,
Aschanska Villa,63.82385,20.26425,,Umeå Municipality,Sweden,landmark,,,
Ascoli Piceno Cathedral,42.8535,13.5783,,Ascoli Piceno,Italy,church,,,
Ascq Communal Cemetery,50.619063,3.165969,,Villeneuve-d'Ascq,France,cemetery,,,
Ashaghi Govhar Agha Mosque,39.761831,46.753596,,Shusha District,Azerbaijan,temple,,,
Asheville City Hall,35.595556,-82.548611,,Asheville,United States,landmark,,,
Ashford Designer Outlet,51.136388888,0.8775,,Ashford,United Kingdom,landmark,,,
Ashland Springs Hotel,42.195796,-122.712822,,Ashland,United States,hotel,,,
Ashmolean Museum,51.75556,-1.26056,,,,museum,,,
Asia University Museum of Modern Art,24.04708333,120.68819444,,Wufeng District,Taiwan,museum,,,
"Asilo de Convalecientes, Madrid",40.437897222,-3.697077777,,Almagro,Spain,landmark,,,
Aşiyan Asri Cemetery,41.0825,29.055277777,,Beşiktaş,Turkey,cemetery,,,
Askold's Grave,50.44388889,30.55138889,,Kyiv,Ukraine,cemetery,,,
Assens Tumulus,46.61144,6.63321,,Assens,Switzerland,cemetery,,,
Assistens Cemetery,55.691111111,12.548888888,,Copenhagen Municipality,Denmark,cemetery,,,
Assistens Cemetery,55.3882,10.3675,,Odense Municipality,Denmark,cemetery,,,
Associated Students House,37.3375,-121.879166666,,San Jose,United States,landmark,,,
"Assumption of Mary Cathedral, Hiroshima",34.39563889,132.46777778,,Hiroshima,Japan,church,,,
Astana Cemetery,42.88155,89.52711389,,Turpan,People's Republic of China,cemetery,,,
Astrabudua,43.314722,-2.986944,,Greater Bilbao,Spain,landmark,,,
Astrup Fearnley Museum of Modern Art,59.906666666,10.721388888,,Oslo Municipality,Norway,museum,,,
AT&T Stadium,32.74769,-97.09288,,,,stadium,,,
Ata-Beyit,42.723117,74.593655,,Süymönkul Çokmorov,Kyrgyzstan,cemetery,,,
Atalaya Castle,33.513889,-79.085278,,Georgetown County,United States,castle,,,
Atarim Square,32.08555556,34.76944444,,Tel Aviv,Israel,landmark,,,
Atelier-Museu Júlio Pomar,38.711366,-9.150426,,Misericórdia,Portugal,landmark,,,
Athenaeum,62.237667,25.734222,,Jyväskylä,Finland,landmark,,,
Athenaeum,35.614161,-87.041394,,Tennessee,United States,landmark,,,
Athens Concert Hall,37.98111,23.754164,,Athens Municipality,Greece,landmark,,,
Athies Communal Cemetery,50.303715,2.836207,,Athies,France,cemetery,,,
Atlantis House,53.0748,8.80547,,Mitte,Germany,landmark,,,
Atocha Railway Station,40.4075,-3.691666666,,Madrid,Spain,landmark,,,
Atocha-Cercanías,40.40596,-3.68876,,Madrid,Spain,landmark,,,
Atrium Tower,52.5058,13.3728,,Bezirk Mitte,Germany,landmark,,,
Au-Friedhof,47.549694444,7.948527777,,Bad Säckingen,Germany,cemetery,,,
Auberge d'Italie,35.89646,14.51128,,Valletta,Malta,landmark,,,
Aubers Ridge British Cemetery,50.589402,2.836421,,Aubers,France,cemetery,,,
Aubigny-au-Bac Communal Cemetery,50.264177,3.158709,,Aubigny-au-Bac,France,cemetery,,,
Auby Communal Cemetery,50.409462,3.050491,,Auby,France,cemetery,,,
Auchonvillers Communal Cemetery,50.078452,2.632931,,Auchonvillers,France,cemetery,,,
Auditorio de Tenerife,28.456067,-16.251278,,Santa Cruz de Tenerife,Spain,landmark,,,
Auditorium del Parco,42.353517,13.402604,,L'Aquila,Italy,landmark,,,
Auditorium Niccolò Paganini,44.801618,10.343205,,Parma,Italy,landmark,,,
Audrey Jones Beck Building,29.7251,-95.3895,,Texas,United States,landmark,,,
Augsburg Cathedral,48.372743587,10.896565711,,Augsburg,Germany,church,,,
Augsburg Protestant Cemetery,48.354,10.9003,,Augsburg,Germany,cemetery,,,
Aukštųjų Rusokų pilkapynas,54.80833333,25.20222222,,Avižieniai Eldership,Lithuania,cemetery,,,
Aula Magna,10.490833333,-66.890555555,,Libertador Municipality,Venezuela,landmark,,,
Auld Aisle Cemetery,55.9324,-4.1384,,East Dunbartonshire,United Kingdom,cemetery,,,
Aurora Place,-33.865,151.212,,New South Wales,Australia,landmark,,,
Ausstellungsgebäude Sammlung Goetz,48.1661,11.6231,,,Germany,architecture,,,
Austin City Hall,30.2649,-97.7472,,Austin,United States,landmark,,,
Australian War Memorial,-35.280815,149.148707,,Canberra,Australia,cemetery,,,
Austrian Parliament Building,48.20805,16.3587,,Innere Stadt,Austria,landmark,,,
Austrian Postal Savings Bank,48.21,16.3803,,Innere Stadt,Austria,landmark,,,
Auteuil Cemetery,48.8411,2.25944,,Paris,France,cemetery,,,
Auto Posto Clube dos 500,-22.78805988,-45.156405482,,Guaratinguetá,Brazil,landmark,,,
Avalon Cemetery,-26.29638889,27.86222222,,Soweto,South Africa,cemetery,,,
Avalon Regal Theater,41.751388888,-87.583611111,,Chicago,United States,theater,,,
Avelin cemetery,50.539687,3.078194,,Avelin,France,cemetery,,,
Avernassetombe,50.70596,5.12973,,Gingelom,Belgium,cemetery,,,
Avicii Arena,59.293611111,18.083333333,,,,stadium,,,
Aviva Stadium,53.334956,-6.228253,,,,stadium,,,
Awaji Yumebutai,34.56148,135.00878,,Kobe,Japan,landmark,,,
Ayer–Shea House,45.528889,-122.688611,,Portland,United States,landmark,,,
Azabudai Hills Mori JP Tower,35.660992329,139.740386009,,Tokyo,Japan,landmark,,,
Azadi Stadium,35.724417,51.275528,,,,stadium,,,
Azadi Tower,35.699722222,51.338055555,,,,landmark,,,
Azerbaijan State Academic Opera and Ballet Theater,40.374701,49.845397,,Baku,Azerbaijan,theater,,,
Azerbaijan State Philharmonic Hall,40.364085,49.831641,,Baku,Azerbaijan,landmark,,,
B'nai Israel Synagogue and Montefiore Cemetery,47.91616667,-97.03286111,,Grand Forks,United States,cemetery,,,
Bab al-Saghir Cemetery,33.504307,36.303648,,Damascus,Syria,cemetery,,,
Babaoshan Revolutionary Cemetery,39.907736111,116.235963888,,Laoshan Subdistrict,People's Republic of China,cemetery,,,
Babelsberg Palace,52.4076,13.0933,,Babelsberg,Germany,castle,,,
Bachelor's Grove Cemetery,41.6308,-87.7708,,Bremen Township,United States,cemetery,,,
Back Creek Presbyterian Church and Cemetery,35.650833,-80.706667,,North Carolina,United States,cemetery,,,
Bäckerbichl,47.966311111,11.203019444,,Andechs,Germany,cemetery,,,
Bad Honnef-Rhöndorf Forest Cemetery,50.6627,7.21845,,Bad Honnef,Germany,cemetery,,,
"Badhuis Diamantstraat, Amsterdam",52.35083,4.906237,,Amsterdam,Netherlands,landmark,,,
Baensch House,52.503298,13.185536,,Spandau,Germany,landmark,,,
Bagsværd Church,55.7618,12.4445,,Gladsaxe Municipality,Denmark,church,,,
Baikove Cemetery,50.416666666,30.505833333,,Holosiiv Raion,Ukraine,cemetery,,,
Bailly Cemetery,41.632777777,-87.090833333,,Indiana,United States,cemetery,,,
Bains-douches Castagnary,48.833958336,2.309211276,,Paris,France,landmark,,,
Baitul Mukarram National Mosque,23.72944444,90.41222222,,Dhaka,Bangladesh,temple,,,
Bajus Churchyard,50.421633,2.483001,,Bajus,France,cemetery,,,
Baker House,42.3566,-71.0958,,Cambridge,United States,landmark,,,
